,Venue,Venue Postal Code,Venue Latitude,Venue Longitude,Venue Category
96,Starbucks,10027,40.809155492394076,-73.94851570126119,Coffee Shop
97,Starbucks,10027,40.81507408334908,-73.95893045497931,Coffee Shop
98,Starbucks,11201,40.702854716485874,-73.99387438970747,Coffee Shop
99,Starbucks,11229,40.599833,-73.942019,Coffee Shop
100,Starbucks,10018,40.75663838,-73.99094694,Coffee Shop
101,Starbucks,10036,40.758934,-73.992516,Coffee Shop
102,Starbucks,10036,40.75799862,-73.98894971,Coffee Shop
103,Starbucks,10018,40.755393094045175,-73.9910754150045,Coffee Shop
104,Starbucks,10036,40.760445,-73.98719,Coffee Shop
105,Starbucks,10036,40.75696029208336,-73.98937805564258,Coffee Shop
106,Starbucks,10036,40.757996,-73.99196,Coffee Shop
107,Starbucks,10036,40.761487,-73.997546,Coffee Shop
108,Starbucks,10010,40.740383,-73.991165,Coffee Shop
109,Starbucks,10010,40.741844,-73.99324,Coffee Shop
110,Starbucks,10010,40.743572,-73.99203,Coffee Shop
111,Starbucks,10010,40.74016,-73.98697,Coffee Shop
112,Starbucks,10003,40.73790176,-73.98835362,Coffee Shop
113,Starbucks,10003,40.73655126694663,-73.98985608095468,Coffee Shop
114,Starbucks,10010,40.740205716753806,-73.9836729638957,Coffee Shop
115,Starbucks,11358,40.768705,-73.791991,Coffee Shop
116,Starbucks,10468,40.873234,-73.90873,Coffee Shop
117,Starbucks,10468,40.86715025009173,-73.90408790050748,Coffee Shop
118,Starbucks,10463,40.873754554218515,-73.90861305343668,Coffee Shop
119,Starbucks,10306,40.60639331431979,-74.07868209330921,Coffee Shop
120,Starbucks,11367,40.73472693872872,-73.81604391884227,Coffee Shop
121,Starbucks,10310,40.63032034,-74.10608734,Coffee Shop
122,Starbucks,10471,40.91428953591295,-73.90892217209293,Coffee Shop
123,Starbucks,10065,40.76589947,-73.96350283,Coffee Shop
124,Starbucks,10065,40.76468772,-73.9664579,Coffee Shop
125,Hunter College Starbucks,10065,40.767667,-73.96425,Coffee Shop
126,Starbucks,10026,40.8058588054395,-73.95437109714017,Coffee Shop
127,Starbucks,10035,40.79569,-73.93255,Coffee Shop
128,Starbucks,11201,40.68612962611217,-73.99090540048812,Coffee Shop
129,Starbucks,10301,40.644745,-74.074488,Coffee Shop
130,Starbucks,11214,40.59522682860779,-74.00001700705624,Coffee Shop
131,Starbucks,10010,40.736546,-73.97838,Coffee Shop
132,Starbucks,11201,40.694713562848456,-73.98331701247406,Coffee Shop
133,Starbucks,11201,40.694019,-73.9868,Coffee Shop
134,Starbucks,11201,40.69090564951046,-73.98388344987832,Coffee Shop
135,Starbucks,11201,40.68943,-73.98091,Coffee Shop
136,Starbucks,11201,40.691763,-73.988563,Coffee Shop
137,Starbucks,11201,40.6914388903637,-73.98431495963217,Coffee Shop
138,Starbucks Reserve,11201,40.69306728713392,-73.98364073374466,Coffee Shop
139,Starbucks,11201,40.69078063964844,-73.98603057861328,Coffee Shop
140,Starbucks @ Sheraton Brooklyn,11201,40.691469105868805,-73.98463693931893,Coffee Shop
141,Starbucks,11105,40.776211994463324,-73.91088914659068,Coffee Shop
142,Starbucks,11210,40.622770266554035,-73.93674540498883,Coffee Shop
143,Starbucks,11235,40.57784143,-73.96120404,Coffee Shop
144,Starbucks,10021,40.766059,-73.957547,Coffee Shop
145,Starbucks,10021,40.76498,-73.953124,Coffee Shop
146,Starbucks,11356,40.78196653110998,-73.8297175532178,Coffee Shop
147,Starbucks,10032,40.841054306805155,-73.94311666488647,Coffee Shop
148,Starbucks,11201,40.689027,-73.985982,Coffee Shop
149,Starbucks,10462,40.85612716867315,-73.86742823061535,Coffee Shop
150,Starbucks,11361,40.76086,-73.76647,Coffee Shop
151,Starbucks,10014,40.73371260231791,-74.00627519979301,Coffee Shop
152,Starbucks,10014,40.73318,-74.00293,Coffee Shop
153,Starbucks,11435,40.70359286751274,-73.80892460615158,Coffee Shop
154,Starbucks,10019,40.76223640083641,-73.98763905244529,Coffee Shop
155,Starbucks,10019,40.76190095,-73.98659719,Coffee Shop
156,Starbucks,10019,40.769371183187374,-73.98836833368998,Coffee Shop
157,Starbucks,11215,40.677181106468794,-73.9831279142211,Coffee Shop
158,Starbucks,11210,40.631556443248236,-73.94671947299318,Coffee Shop
159,Starbucks,10458,40.861106,-73.886148,Coffee Shop
160,Starbucks,10458,40.87078094482422,-73.88671112060547,Coffee Shop
161,Starbucks,11362,40.7643941,-73.72620242,Coffee Shop
162,Starbucks,10025,40.80707987,-73.9648889,Coffee Shop
163,Starbucks,11235,40.587041,-73.953264,Coffee Shop
164,Starbucks,11215,40.66934279973316,-73.98982298230987,Coffee Shop
165,Starbucks Reserve Roastery,10011,40.74166158826782,-74.00507982765883,Coffee Shop
166,Starbucks,10011,40.739376,-74.00261,Coffee Shop
167,Starbucks,10011,40.741154,-74.0013,Coffee Shop
168,Starbucks,10014,40.73725,-74.00172,Coffee Shop
169,Starbucks,10011,40.74160367996093,-74.00472537655166,Coffee Shop
